,bands,location,band_names,day,date,time,price
0,Monday Night Trivia!,"The Happy Dog • Cleveland, OH",['Monday Night Trivia!'],Mon, Nov 6, 8:00 PM,Free
1,The Whiffs / The Vumms / Sim Ross & The Rumble / DJ Jam Jam,"The Happy Dog • Cleveland, OH","['The Whiffs ', ' The Vumms ', ' Sim Ross & The Rumble ', ' DJ Jam Jam']",Thu, Nov 9, 9:00 PM,$10.00
2,Tall Grass Record Release w/ Total Downer / Funeral Proposals,"The Happy Dog • Cleveland, OH","['Tall Grass Record Release w', ' Total Downer ', ' Funeral Proposals']",Fri, Nov 10, 9:00 PM,$10.00
3,The Jagaloons / Oongow!!! / Riptide Suicide,"The Happy Dog • Cleveland, OH","['The Jagaloons ', ' Oongow!!! ', ' Riptide Suicide']",Sat, Nov 11, 9:00 PM,$10.00
4,The Metric Ton / Touchdown Jesus / Chum Lord / Bigg Egg,"The Happy Dog • Cleveland, OH","['The Metric Ton ', ' Touchdown Jesus ', ' Chum Lord ', ' Bigg Egg']",Sun, Nov 12, 9:00 PM,$10.00
5,Monday Night Trivia!,"The Happy Dog • Cleveland, OH",['Monday Night Trivia!'],Mon, Nov 13, 8:00 PM,Free
6,Simple Routes EP release w/ Ray Flanagan / Michelle Gaw,"The Happy Dog • Cleveland, OH","['Simple Routes EP release w', ' Ray Flanagan ', ' Michelle Gaw']",Thu, Nov 16, 9:00 PM,$10.00
7,Tiny Wars / Kat Steih & The Ferals / Xanny Stars / King Buu,"The Happy Dog • Cleveland, OH","['Tiny Wars ', ' Kat Steih & The Ferals ', ' Xanny Stars ', ' King Buu']",Fri, Nov 17, 9:00 PM,$10.00
8,Panza Foundation Benefit w/ Brain Cave / Suitor / Uniity / Slug Fest,"The Happy Dog • Cleveland, OH","['Panza Foundation Benefit w', ' Brain Cave ', ' Suitor ', ' Uniity ', ' Slug Fest']",Sat, Nov 18, 8:30 PM,$10.00
9,Jon Spencer / Simon and the Apparatus,"The Happy Dog • Cleveland, OH","['Jon Spencer ', ' Simon and the Apparatus']",Sat, Nov 25, 9:00 PM,$20.00
10,Boy Jr. / Solon,"The Happy Dog • Cleveland, OH","['Boy Jr. ', ' Solon']",Wed, Nov 29, 9:00 PM,$12.00
11,Loveseat / The Missed / Hyper Viper / Lowspot,"The Happy Dog • Cleveland, OH","['Loveseat ', ' The Missed ', ' Hyper Viper ', ' Lowspot']",Fri, Nov 3, 9:00 PM,$10
12,Live Hip-Hop Showcase in the Underdog!,"The Happy Dog • Cleveland, OH",['Live Hip-Hop Showcase in the Underdog!'],Fri, Nov 3, 6:30 PM,Free
13,Pons / People in the Daytime / Hiram-Maxim / Bigg Egg,"The Happy Dog • Cleveland, OH","['Pons ', ' People in the Daytime ', ' Hiram-Maxim ', ' Bigg Egg']",Thu, Nov 2, 9:00 PM,$10
14,Happy Dog Takes on Everything,"The Happy Dog • Cleveland, OH",['Happy Dog Takes on Everything'],Wed, Nov 1, 7:30 PM,Free
15,Your Abduction - A Halloween Dance Party,"The Happy Dog • Cleveland, OH",['Your Abduction - A Halloween Dance Party'],Tue, Oct 31, 8:00 PM,$10
16,Monday Night Trivia - Halloween Edition!,"The Happy Dog • Cleveland, OH",['Monday Night Trivia - Halloween Edition!'],Mon, Oct 30, 8:00 PM,Free
17,The Cowboys / The Gerds / The Wastemen,"The Happy Dog • Cleveland, OH","['The Cowboys ', ' The Gerds ', ' The Wastemen']",Sat, Oct 28, 9:00 PM,$10
18,Machine Go Boom / Honolulu High / Perfect Pals,"The Happy Dog • Cleveland, OH","['Machine Go Boom ', ' Honolulu High ', ' Perfect Pals']",Fri, Oct 27, 9:00 PM,$10
19,Emily Robb / Material / Swisher / Anteater,"The Happy Dog • Cleveland, OH","['Emily Robb ', ' Material ', ' Swisher ', ' Anteater']",Thu, Oct 26, 9:00 PM,$10
20,Dug / Actual Form / Brain Cave,"The Happy Dog • Cleveland, OH","['Dug ', ' Actual Form ', ' Brain Cave']",Tue, Oct 24, 9:00 PM,$10
21,Class / Disintegration / Knowso / DJ Hausfrau,"The Happy Dog • Cleveland, OH","['Class ', ' Disintegration ', ' Knowso ', ' DJ Hausfrau']",Mon, Oct 23, 9:00 PM,$10
